81199,2
22565,0
385,7
97758,5
74357,5
19367,6
84700,6
48267,3
66939,6
7275,4
30539,4
4357,7
6060,6
7766,3
28612,7
71784,3
88121,3
80189,7
17257,4
37443,7
10268,0
22399,1
18385,5
11201,6
26613,5
17951,2
34237,2
6202,0
65007,7
75284,5
5609,1
68467,7
65739,2
31427,0
36402,6
39211,2
82427,2
3600,2
33902,0
80800,7
14520,2
13043,1
7028,7
32501,5
73402,6
36127,3
10529,1
12292,7
22902,2
88530,6
3186,5
67937,5
45115,6
24649,2
32062,2
39644,7
23240,0
81562,4
47437,4
8324,3
33349,2
10422,5
19495,3
95470,5
35957,0
11670,7
21404,5
30373,0
37569,3
95941,1
70655,3
37230,1
89304,7
20787,3
42103,2
25209,2
60433,6
47656,2
14057,7
15492,3
28165,4
27282,2
94477,2
65673,2
98271,5
34422,4
66092,5
23235,2
25062,4
77712,6
93718,7
24464,0
64493,5
32402,4
33692,7
48176,5
18902,6
80537,1
11600,7
8114,0
24659,5
71600,1
77927,2
77853,0
7311,0
8998,5
34323,6
96876,7
93820,2
34929,5
82700,6
33392,6
7886,0
27285,1
90042,7
81002,7
22168,3
68849,4
8520,0
71549,0
84354,6
60662,2
14735,3
68673,5
86555,1
6192,6
33890,5
37321,1
26343,3
13577,6
93140,5
679,3
79141,5
17996,6
36512,4
37829,6
30223,5
19432,1
11575,2
82736,1
44244,7
74530,1
22788,6
79790,3
67803,5
2995,4
39730,0
67197,0
95750,7
23439,4
40364,6
7420,6
93993,6
45770,7
38266,7
13064,4
32896,4
13029,3
33806,6
83735,1
39961,2
7083,1
10224,4
33659,5
3647,2
41126,1
45709,3
43450,6
74600,1
92722,6
13817,7
32304,7
7957,3
36125,6
40672,0
88047,2
15733,3
72137,3
12283,2
12265,0
18364,6
16955,3
17868,5
72424,2
17932,5
22844,6
14983,7
43968,4
84966,3
87418,2
2991,7
37770,3
63758,0
577,0
25178,2
91871,1
32359,2
13547,4
4153,2
88325,1
2292,6
17392,0
24815,2
46283,3
70194,0
71900,2
34073,2
26580,5
2003,1
18352,4
95268,3
11538,7
3910,2
39139,1
63775,3
63323,0
15004,4
88979,7
48162,2
35524,6
38730,1
30491,1
37070,3
42615,4
46617,3
6268,3
70995,3
47391,4
63803,4
76194,3
74587,2
28377,4
78855,5
33253,6
93550,3
23120,0
11166,3
35983,0
79496,4
24743,4
16942,3
20581,2
4531,2
17754,2
44824,6
48340,4
8923,3
21172,0
45610,4
23943,5
23792,0
26202,0
